"Sr.","Stock Name","Symbol","Change %","LTP"
98,"Knowledge Marine & Engineering Works Ltd","KMEW",-0.72,2964
99,"Ram Ratna Wires Ltd","RAMRAT",-0.73,527.35
100,"Kalyan Jewellers India Ltd","KALYANKJIL",-0.82,607.6
101,"Talbros Automotive Components Limited","TALBROAUTO",-0.84,420.45
102,"Dynamic Cables Ltd","DYCL",-0.89,456.5
103,"Uflex Limited","UFLEX",-0.96,680.15
104,"Vadilal Industries Limited","VADILALIND",-0.96,7462
105,"Skm Egg Products Export (india) Limited","SKMEGGPROD",-0.97,250.9
106,"D.P. Abhushan Ltd","DPABHUSHAN",-0.98,1397.7
107,"Syrma SGS Technology Ltd","SYRMA",-1.02,1622.4
108,"Indo Tech Transformers Limited","INDOTECH",-1.05,3657.9
109,"Apar Industries Limited","APARINDS",-1.06,17448
110,"R R Kabel Ltd","RRKABEL",-1.17,2419.8
111,"Precision Wires India Limited","PRECWIRE",-1.22,474.35
112,"Cemindia Projects Ltd","CEMPRO",-1.25,1269.1
113,"Raghav Productivity Enhancers Ltd","RPEL",-1.29,1670.8
114,"Kddl Limited","KDDL",-1.35,3912.2
115,"Senores Pharmaceuticals Ltd","SENORES",-1.4,1488.6
116,"Radico Khaitan Limited","RADICO",-1.58,4414
117,"Somany Ceramics Limited","SOMANYCERA",-1.63,553.5
118,"Pricol Ltd.","PRICOLLTD",-1.69,745.8
119,"Caplin Point Laboratories Limited","CAPLIPOINT",-1.7,2723.1
120,"Marksans Pharma Limited","MARKSANS",-1.71,330.15
121,"Skipper Limited","SKIPPER",-1.78,593.95
122,"Td Power Systems Limited","TDPOWERSYS",-1.78,755.1
123,"Rane (madras) Limited","RML",-1.85,1364.3
124,"Manorama Industries Ltd","MANORAMA",-1.86,2093.3
125,"Renaissance Global Ltd","RGL",-1.87,147.19
126,"JTL Industries Ltd","JTLIND",-1.95,87.8
127,"Elantas Beck India Ltd","ELANTAS",-1.97,13618
128,"Nippon Life India Asset Management Ltd","NAM-INDIA",-2.03,1164.8
129,"Leela Palaces Hotels & Resorts Ltd","THELEELA",-2.04,531.45
130,"Gabriel India Limited","GABRIEL",-2.07,1360.8
131,"KSH International Ltd","KSHINTL",-2.1,1152.05
132,"Bharat Seats Ltd","BHARATSE",-2.14,222
133,"Aeroflex Industries Ltd","AEROFLEX",-2.15,561.15
134,"Aditya Infotech Ltd","CPPLUS",-2.16,3746.1
