Date,Stock,Stock_Count
2023-11-28,AEGISLOG,2
2024-01-08,VADILALIND,1
2024-05-13,SOMANYCERA,2
2024-12-09,TITAN,5
2025-02-17,KDDL,1
2025-02-24,KDDL,2
2025-03-03,PANAMAPET,1
2025-05-26,KALYANKJIL,2
2025-06-30,IPCALAB,3
2025-09-15,IPCALAB,2
2025-12-15,HSCL,1
2026-02-09,PRUDENT,4
2026-02-16,PRUDENT,3
2026-03-30,WELCORP,1
